Total Nacional;Comunidades y Ciudades Autónomas;Grupos de usuarios e importe;periodo;Total
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2020;43.361
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2018;24.532
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2016;24.707
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2014;40.299
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2013;31.357
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2012;42.366
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2011;152.315
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2010;49.250
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2009;47.526
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2008;68.091
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2007;53.503
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2006;64.770
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2005;73.472
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2004;62.850
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2003;50.801
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2002;57.882
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2001;95.113
Total Nacional;01 Andalucía;Importe total de la inversión en los servicios de suministro;2000;116.440
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2020;691
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2018;660
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2016;885
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2014;4.960
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2013;3.543
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2012;4.708
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2011;4.259
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2010;12.902
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2009;15.186
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2008;18.014
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2007;4.569
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2006;3.312
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2005;2.311
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2004;4.081
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2003;6.735
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2002;5.897
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2001;2.648
Total Nacional;02 Aragón;Importe total de la inversión en los servicios de suministro;2000;5.770
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2020;757
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2018;7.788
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2016;6.172
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2014;3.490
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2013;3.794
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2012;3.271
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2011;3.373
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2010;2.972
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2009;6.102
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2008;5.892
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2007;9.323
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2006;10.645
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2005;6.596
Total Nacional;03 Asturias, Principado de;Importe total de la inversión en los servicios de suministro;2004;11.905
