"Total Nacional","Comunidades y Ciudades Autónomas","Grupos de usuarios e importe","periodo","Total"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2020,"3.177.815"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2018,"3.188.055"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2016,"3.199.910"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2014,"3.214.034"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2013,"3.210.843"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2012,"3.338.028"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2011,"3.381.318"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2010,"3.393.271"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2009,"3.500.578"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2008,"3.731.399"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2007,"3.778.036"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2006,"3.913.059"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2005,"4.002.180"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2004,"4.042.399"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2003,"4.019.615"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2002,"3.855.697"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2001,"3.870.650"
"Total Nacional",NA,"Volumen total de agua registrada y distribuida por tipo de usuario",2000,"3.781.680"
"Total Nacional",NA,"- Sectores económicos",2020,"616.365"
"Total Nacional",NA,"- Sectores económicos",2018,"629.256"
"Total Nacional",NA,"- Sectores económicos",2016,"632.504"
"Total Nacional",NA,"- Sectores económicos",2014,"684.841"
"Total Nacional",NA,"- Sectores económicos",2013,"694.659"
"Total Nacional",NA,"- Sectores económicos",2012,"711.170"
"Total Nacional",NA,"- Sectores económicos",2011,"693.420"
"Total Nacional",NA,"- Sectores económicos",2010,"675.454"
"Total Nacional",NA,"- Sectores económicos",2009,"701.655"
"Total Nacional",NA,"- Sectores económicos",2008,"832.701"
"Total Nacional",NA,"- Sectores económicos",2007,"852.276"
"Total Nacional",NA,"- Sectores económicos",2006,"911.264"
"Total Nacional",NA,"- Sectores económicos",2005,"947.955"
"Total Nacional",NA,"- Sectores económicos",2004,"969.340"
"Total Nacional",NA,"- Sectores económicos",2003,"933.309"
"Total Nacional",NA,"- Sectores económicos",2002,"891.039"
"Total Nacional",NA,"- Sectores económicos",2001,"920.127"
"Total Nacional",NA,"- Sectores económicos",2000,"840.165"
"Total Nacional",NA,"- Hogares",2020,"2.290.800"
"Total Nacional",NA,"- Hogares",2018,"2.271.205"
"Total Nacional",NA,"- Hogares",2016,"2.297.352"
"Total Nacional",NA,"- Hogares",2014,"2.237.746"
"Total Nacional",NA,"- Hogares",2013,"2.217.686"
"Total Nacional",NA,"- Hogares",2012,"2.308.872"
"Total Nacional",NA,"- Hogares",2011,"2.384.386"
"Total Nacional",NA,"- Hogares",2010,"2.412.708"
"Total Nacional",NA,"- Hogares",2009,"2.493.842"
"Total Nacional",NA,"- Hogares",2008,"2.539.891"
"Total Nacional",NA,"- Hogares",2007,"2.543.714"
"Total Nacional",NA,"- Hogares",2006,"2.615.751"
"Total Nacional",NA,"- Hogares",2005,"2.673.564"
"Total Nacional",NA,"- Hogares",2004,"2.700.928"
"Total Nacional",NA,"- Hogares",2003,"2.602.904"
"Total Nacional",NA,"- Hogares",2002,"2.511.810"
"Total Nacional",NA,"- Hogares",2001,"2.459.548"
"Total Nacional",NA,"- Hogares",2000,"2.482.085"
"Total Nacional",NA,"- Consumos municipales",2020,"270.650"
"Total Nacional",NA,"- Consumos municipales",2018,"287.594"
"Total Nacional",NA,"- Consumos municipales",2016,"270.054"
"Total Nacional",NA,"- Consumos municipales",2014,"291.447"
"Total Nacional",NA,"- Consumos municipales",2013,"298.498"
"Total Nacional",NA,"- Consumos municipales",2012,"317.986"
"Total Nacional",NA,"- Consumos municipales",2011,"303.512"
"Total Nacional",NA,"- Consumos municipales",2010,"305.109"
